rep,fold,seed,arm,n_test,auc,ap,acc,f1,rely_img,rely_tab,auc_img_shuf,auc_tab_shuf,best_epoch,epochs_run
2,4,1,cross_a2b,45,0.6689189189189189,0.8923164492272575,0.7555555555555555,0.8533333333333334,0.0236486486486485,0.179054054054054,0.6452702702702703,0.4898648648648648,10,25
2,4,2,cross_a2b,45,0.6756756756756757,0.8801926550246355,0.7555555555555555,0.8493150684931506,0.0135135135135134,0.3074324324324324,0.6621621621621622,0.3682432432432432,1,16
2,4,0,img,45,0.6891891891891891,0.9141878941897073,0.8222222222222222,0.902439024390244,,,,,19,34
2,4,1,img,45,0.6182432432432432,0.8838969506938852,0.7555555555555555,0.8493150684931506,,,,,2,17
2,4,2,img,45,0.6722972972972974,0.912362841634724,0.6444444444444445,0.7575757575757576,,,,,15,30
2,4,0,tab,45,0.6351351351351352,0.8608108377378112,0.7777777777777778,0.8648648648648649,,,,,2,17
2,4,1,tab,45,0.6891891891891891,0.866633944548485,0.8222222222222222,0.8947368421052632,,,,,2,17
2,4,2,tab,45,0.6824324324324325,0.8941673137276078,0.7111111111111111,0.8169014084507042,,,,,1,16
3,0,0,concat,46,0.930921052631579,0.9847296448547954,0.8695652173913043,0.925,0.0230263157894737,0.3223684210526316,0.9078947368421052,0.6085526315789473,13,28
3,0,1,concat,46,0.9046052631578948,0.981104908142777,0.8478260869565217,0.9135802469135802,0.0131578947368421,0.4046052631578948,0.8914473684210527,0.5,8,23
3,0,2,concat,46,0.9177631578947368,0.9824577271968378,0.8478260869565217,0.9113924050632912,0.0427631578947367,0.3289473684210525,0.8750000000000001,0.5888157894736843,16,31
3,0,0,concat_wide,46,0.894736842105263,0.9770183354891994,0.8913043478260869,0.935064935064935,0.0164473684210526,0.4276315789473683,0.8782894736842104,0.4671052631578947,18,33
3,0,1,concat_wide,46,0.8585526315789473,0.9706226652369292,0.8260869565217391,0.8974358974358975,0.0098684210526315,0.3355263157894737,0.8486842105263158,0.5230263157894737,12,27
3,0,2,concat_wide,46,0.875,0.972920386952218,0.8695652173913043,0.9210526315789472,0.006578947368421,0.4013157894736842,0.868421052631579,0.4736842105263158,2,17
3,0,0,cross,46,0.6973684210526316,0.9122537950437706,0.7391304347826086,0.8421052631578947,-0.0098684210526315,0.2664473684210527,0.7072368421052632,0.4309210526315789,24,39
3,0,1,cross,46,0.950657894736842,0.9894895220066018,0.8913043478260869,0.9315068493150684,0.0230263157894735,0.381578947368421,0.9276315789473684,0.569078947368421,1,16
3,0,2,cross,46,0.8782894736842105,0.9751620709614122,0.8043478260869565,0.8860759493670886,-0.0065789473684211,0.4111842105263158,0.8848684210526316,0.4671052631578947,2,17
3,0,0,cross_a2b,46,0.8289473684210527,0.963358752011632,0.8260869565217391,0.8974358974358975,0.0098684210526316,0.3881578947368421,0.819078947368421,0.4407894736842105,16,31
3,0,1,cross_a2b,46,0.868421052631579,0.9709123021223433,0.8478260869565217,0.9113924050632912,0.0098684210526316,0.3881578947368421,0.8585526315789473,0.4802631578947368,9,24
3,0,2,cross_a2b,46,0.8355263157894737,0.9615979736823308,0.8478260869565217,0.9090909090909092,-0.0032894736842105,0.3519736842105262,0.8388157894736842,0.4835526315789474,5,20
3,0,0,img,46,0.7105263157894737,0.9219707806077978,0.6739130434782609,0.782608695652174,,,,,5,20
3,0,1,img,46,0.6118421052631577,0.893285839057973,0.7608695652173914,0.8533333333333334,,,,,2,17
3,0,2,img,46,0.6414473684210527,0.8979642430501349,0.8043478260869565,0.8860759493670886,,,,,2,17
3,0,0,tab,46,0.875,0.9709080728472894,0.8478260869565217,0.9090909090909092,,,,,11,26
3,0,1,tab,46,0.8322368421052632,0.9618091380265612,0.8478260869565217,0.9113924050632912,,,,,13,28
3,0,2,tab,46,0.8519736842105263,0.9514290692448302,0.8043478260869565,0.8831168831168831,,,,,39,54
3,1,0,concat,46,0.7267267267267268,0.8528039133875717,0.8478260869565217,0.9113924050632912,0.0600600600600601,-0.1081081081081081,0.6666666666666666,0.8348348348348349,5,20
